ticker,company_name,watchlist_status,manual_review_reason,missing_fields,source_conflicts,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,evidence_debt_reason
VIX,Công ty Cổ phần Chứng khoán VIX,WATCH_ONLY,Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VND,Công ty Cổ phần Chứng khoán VNDIRECT,WATCH_ONLY,Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VSC,Công ty Cổ phần Container Việt Nam,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VGI,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VNM,Công ty Cổ phần Sữa Việt Nam,WATCH_ONLY,Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VJC,Công ty Cổ phần Hàng không Vietjet,WATCH_ONLY,Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
YEG,Công ty Cổ phần Tập đoàn Yeah1,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
