ticker,input_rank,rank_source,stage,stage_assignment_status,assignment_reason,official_files_per_ticker_min,official_files_per_ticker_max,target_max_tickers_for_stage,template_only,manual_review_required,no_financial_claim
VIX,1,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VND,2,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VSC,3,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VGI,4,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VCG,5,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VNM,6,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
TVN,7,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VJC,8,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VTZ,9,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
YEG,10,balanced_rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VCI,11,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VFS,12,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VDS,13,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VIG,14,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
TVS,15,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VRE,16,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VNE,17,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VOS,18,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VTP,19,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
TLH,20,balanced_rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
TTF,21,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VGC,22,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TNG,23,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VHC,24,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VGT,25,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VEA,26,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TV2,27,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPG,28,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TTA,29,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VGS,30,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTD,31,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VHE,32,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TNI,33,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VVS,34,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TSC,35,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TNH,36,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TLG,37,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDG,38,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VLC,39,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNB,40,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VOC,41,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDM,42,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTC,43,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TTN,44,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VCW,45,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTR,46,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VCP,47,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TOS,48,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TVP,49,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNS,50,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VHM,51,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIC,52,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPI,53,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
