ticker,module,issue,severity,status,evidence,confidence,notes
,coverage_report,MANUAL_REVIEW,MEDIUM,MANUAL_REVIEW_REQUIRED,market_price,low,"required_fields=ticker,date,close,volume,trading_value; stale data present; low confidence rows present; manual review rows present"
,coverage_report,MISSING_DATA,MEDIUM,MANUAL_REVIEW_REQUIRED,financial_statement_summary,low,"required_fields=ticker,period,revenue,net_profit,equity,total_assets,total_liabilities; missing required values present"
VCB,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
VCB,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VCB,production_universe_builder,FINANCIAL_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
BID,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
BID,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
BID,production_universe_builder,FINANCIAL_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CTG,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
CTG,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CTG,production_universe_builder,FINANCIAL_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
MBB,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
MBB,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
MBB,production_universe_builder,FINANCIAL_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
ACB,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
ACB,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
ACB,production_universe_builder,FINANCIAL_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
HPG,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
HPG,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
HPG,production_universe_builder,FINANCIAL_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
HSG,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
HSG,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VHM,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
VHM,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
KDH,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
KDH,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
NLG,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
NLG,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
SSI,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
SSI,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VND,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
VND,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
GAS,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
GAS,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
PVS,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
PVS,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
FPT,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
FPT,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
MWG,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
MWG,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VGC,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
VGC,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
GMD,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
GMD,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VHC,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
VHC,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
TCM,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
TCM,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VCB,l0_trash_filter,MISSING_FINANCIAL_DATA,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=5.10834e+08', 'avg_volume=8.38168e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=9.90009', 'financial_statement_summary:total_liabilities,equity']",low,
VCB,l0_trash_filter,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=5.10834e+08', 'avg_volume=8.38168e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=9.90009', 'financial_statement_summary:total_liabilities,equity']",low,
VCB,l0_trash_filter,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=5.10834e+08', 'avg_volume=8.38168e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=9.90009', 'financial_statement_summary:total_liabilities,equity']",low,
BID,l0_trash_filter,MISSING_FINANCIAL_DATA,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=3.37179e+08', 'avg_volume=8.0759e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=16.7744', 'financial_statement_summary:total_liabilities,equity']",low,
BID,l0_trash_filter,MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=3.37179e+08', 'avg_volume=8.0759e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=16.7744', 'financial_statement_summary:total_liabilities,equity']",low,
BID,l0_trash_filter,MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=3.37179e+08', 'avg_volume=8.0759e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=16.7744', 'financial_statement_summary:total_liabilities,equity']",low,
CTG,l0_trash_filter,MISSING_FINANCIAL_DATA,MEDIUM,INSUFFICIENT_DATA_FOR_L0,"['has_financial_data', 'market:quality_status', 'market:final_confidence', 'avg_trading_value=3.34479e+08', 'avg_volume=9.53264e+06', 'zero_volume_day_ratio=0', 'market_price:volume,trading_value', 'financial_statement_summary:net_profit', 'financial_statement_summary:operating_cash_flow', 'debt_to_equity=14.4971', 'financial_statement_summary:total_liabilities,equity']",low,
