dataset_name,record_key,ticker,field_name,issue,blocked_readiness,manual_review_required,evidence_status,notes
financial_statement_summary,ticker=ACB|period=2025-Q4,ACB,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=ACB|period=2025-Q4,ACB,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=ACB|period=2026-Q1,ACB,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=ACB|period=2026-Q1,ACB,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=BID|period=2025-Q4,BID,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=BID|period=2025-Q4,BID,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=BID|period=2026-Q1,BID,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=BID|period=2026-Q1,BID,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=CTG|period=2025-Q4,CTG,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=CTG|period=2025-Q4,CTG,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=CTG|period=2026-Q1,CTG,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=CTG|period=2026-Q1,CTG,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=MBB|period=2025-Q4,MBB,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=MBB|period=2025-Q4,MBB,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=MBB|period=2026-Q1,MBB,short_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
financial_statement_summary,ticker=MBB|period=2026-Q1,MBB,long_term_debt,MISSING_REQUIRED_FIELD,future_step19,True,UNRESOLVED,no source evidence for required field; value remains missing
