ticker,sample_group,step26_status,coverage_issue_class,recommended_repair_action,fetch_ok,normalized_row_count,last_available_date,last_close_available,last_volume_available,step26_missing_fields,notes
A32,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAA,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAH,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAM,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-11,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAN,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,16,2026-06-12,True,True,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAS,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAT,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAV,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABB,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABC,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,True,87,2026-06-12,True,True,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
