stage,status,input_count,output_count,warnings,errors,notes
raw_to_clean,SUCCESS_WITH_WARNINGS,1400,1400,"[""MISSING_CLEAN_FIELD:financial_statement_summary:net_profit"", ""MISSING_CLEAN_FIELD:disclosure_status:ticker"", ""MISSING_CLEAN_FIELD:disclosure_status:date"", ""MISSING_CLEAN_FIELD:disclosure_status:event_type"", ""MISSING_CLEAN_FIELD:disclosure_status:severity""]",[],
data_quality,SUCCESS_WITH_WARNINGS,1400,1400,"[""STALE_DATA"", ""OUTLIER_REVIEW"", ""MISSING_REVENUE"", ""MISSING_NET_PROFIT"", ""MISSING_OPERATING_CASH_FLOW"", ""MISSING_INVENTORY"", ""LOW_CONFIDENCE_RAW"", ""MISSING_DATA"", ""SKIPPED_EMPTY_DATASET:disclosure_status""]",[],
production_universe_builder,SUCCESS_WITH_WARNINGS,20,20,"[""MISSING_FINANCIAL_DATA"", ""MARKET_DATA_QUALITY_REVIEW"", ""FINANCIAL_DATA_QUALITY_REVIEW""]",[],
l0_trash_filter,SUCCESS_WITH_WARNINGS,20,20,"[""MARKET_STALE_DATA"", ""MARKET_LOW_CONFIDENCE"", ""FINANCIAL_LOW_CONFIDENCE"", ""LOW_LIQUIDITY"", ""SEVERE_DEBT_PRESSURE"", ""INSUFFICIENT_FINANCIAL_HISTORY"", ""MISSING_FINANCIAL_DATA"", ""MISSING_ESSENTIAL_FINANCIAL_FIELD_NET_PROFIT"", ""MISSING_ESSENTIAL_FINANCIAL_FIELD_OPERATING_CASH_FLOW"", ""VERY_LOW_LIQUIDITY""]",[],
l0_basic_investability_filter,SUCCESS_WITH_WARNINGS,20,20,"[""UPSTREAM_L0_CAUTION"", ""SUSPICIOUS_OUTLIER"", ""LOW_DATA_CONFIDENCE"", ""STALE_DATA"", ""LOW_LIQUIDITY"", ""MARKET_DATA_QUALITY_REVIEW"", ""MARKET_CAP_MISSING"", ""UNKNOWN_DISCLOSURE_STATUS"", ""LOW_DATA_COVERAGE"", ""SEVERE_DEBT_PRESSURE"", ""ELEVATED_DEBT_PRESSURE"", ""INSUFFICIENT_FINANCIAL_HISTORY"", ""INSUFFICIENT_FINANCIAL_DATA"", ""FAILED_L0_TRASH_FILTER""]",[],
l1_business_classification,SUCCESS_WITH_WARNINGS,20,20,"[""INSUFFICIENT_DATA_FOR_CLASSIFICATION"", ""FAILED_L0_BASIC_INVESTABILITY""]",[],
archetype_templates,SUCCESS_WITH_WARNINGS,20,20,"[""UNKNOWN_ARCHETYPE_TEMPLATE""]",[],
driver_registry,SUCCESS_WITH_WARNINGS,20,20,"[""INSUFFICIENT_DATA_FOR_CLASSIFICATION"", ""NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION"", ""FAILED_L0_BASIC_INVESTABILITY""]",[],
indicator_registry,SUCCESS_WITH_WARNINGS,20,20,"[""UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING"", ""UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING""]",[],
sector_cycle_engine,SUCCESS_WITH_WARNINGS,0,1,"[""UNKNOWN_MICRO_SECTOR_FOR_SECTOR_CYCLE"", ""INSUFFICIENT_DATA_FOR_SECTOR_CYCLE""]",[],Indicator values are required for high-confidence sector-cycle output.
