ticker,company_name,micro_sector,archetype,cycle_status,survival_status,peer_rank,valuation_context,timing_liquidity_status,key_evidence,key_risks,missing_fields,source_conflicts,confidence_score,watchlist_status,manual_review_required,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,evidence_debt_reason
VIX,Công ty Cổ phần Chứng khoán VIX,Tài chính::securities,securities,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_INSUFFICIENT_DATA"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",[],[],45,WATCH_ONLY,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VND,Công ty Cổ phần Chứng khoán VNDIRECT,Tài chính::securities,securities,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_INSUFFICIENT_DATA"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",[],[],45,WATCH_ONLY,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VSC,Công ty Cổ phần Container Việt Nam,Công nghiệp::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_INSUFFICIENT_DATA"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],37,MANUAL_REVIEW,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VGI,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Viễn thông::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_MANUAL_REVIEW,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_MANUAL_REVIEW_REQUIRED"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],42,MANUAL_REVIEW,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Công nghiệp::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_INSUFFICIENT_DATA"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],37,MANUAL_REVIEW,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VNM,Công ty Cổ phần Sữa Việt Nam,Hàng Tiêu dùng::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_MANUAL_REVIEW,TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_MANUAL_REVIEW_REQUIRED"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],47,WATCH_ONLY,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,Nguyên vật liệu::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_INSUFFICIENT_DATA"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],37,MANUAL_REVIEW,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VJC,Công ty Cổ phần Hàng không Vietjet,Dịch vụ Tiêu dùng::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_MANUAL_REVIEW,TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_MANUAL_REVIEW_REQUIRED"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],47,WATCH_ONLY,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nguyên vật liệu::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_INSUFFICIENT_DATA"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],37,MANUAL_REVIEW,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
YEG,Công ty Cổ phần Tập đoàn Yeah1,Dịch vụ Tiêu dùng::non_financial,non_financial,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,VALUATION_CONTEXT_MANUAL_REVIEW,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,"[""Step05A status: WATCHLIST_CANDIDATE"", ""Step19 diagnostic status: SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY"", ""Step20 context status: STEP20_MANUAL_REVIEW_REQUIRED"", ""Step21 timing/liquidity context: TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""PRIMARY_ONLY_LIQUIDITY_DATA"", ""PRIMARY_ONLY_MARKET_DATA"", ""PROVISIONAL_SOURCE_CONFIDENCE"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""UNRESOLVED_FIELDS_PRESENT"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""net_income""]",[],42,MANUAL_REVIEW,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
