ticker,sample_group,step26_status,step26_block_reason,step26_missing_fields,fetch_attempted,fetch_ok,fetch_error_type,fetch_error_message,raw_row_count,normalized_row_count,last_available_date,last_close_available,last_volume_available,normalized_required_fields_present,fetch_duration_ms,provider,source,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,coverage_issue_class,recommended_repair_action,notes
AC4,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: RetryError[<Future at 0x17017b71230 state=finished raised ValueError>],0,0,,False,False,False,5541,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ACE,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: RetryError[<Future at 0x17017c1d350 state=finished raised UnicodeEncodeError>],0,0,,False,False,False,4014,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ACG,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: RetryError[<Future at 0x17017c3cd50 state=finished raised UnicodeEncodeError>],0,0,,False,False,False,4010,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ACL,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,5,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ACM,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,2,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ACS,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,6,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ACV,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,1,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ADC,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,4,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ADG,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,1,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
ADP,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined>,0,0,,False,False,False,6,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
