ticker,exchange,company_name,screening_status,reason_to_review,missing_fields,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,manual_bctc_required,evidence_debt_reason,batch_id
TLH,HOSE,Công ty Cổ phần Tập đoàn Thép Tiến Lên,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0015
TVN,UPCoM,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0016
TVS,HOSE,Công ty Cổ phần Chứng khoán Thiên Việt,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0016
VCG,HOSE,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
VCI,HOSE,Công ty Cổ phần Chứng khoán Vietcap,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
VDS,HOSE,Công ty Cổ phần Chứng khoán Rồng Việt,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
VFS,HNX,Công ty Cổ phần Chứng khoán Nhất Việt,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
VGI,UPCoM,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
VIG,HNX,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
VIX,HOSE,Công ty Cổ phần Chứng khoán VIX,WATCHLIST_CANDIDATE,Survived primary-only scale filters; manual BCTC/source verification remains required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",batch_0017
