ticker,exchange,company_name,screening_status,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,manual_review_required,manual_bctc_required,independent_market_crosscheck_required_later,finance_crosscheck_required_later,evidence_debt_reason,missing_fields,block_reasons,reason_to_review,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,stale_days,trading_days_60d,recent_trading_value,market_fetch_status,finance_missing_fields,finance_quality_status,finance_source_layer,source,source_family,fetch_time,batch_id
TLH,HOSE,Công ty Cổ phần Tập đoàn Thép Tiến Lên,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]","[""net_income""]",[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,4.38,157870.0,181486.6667,127900.0,0.0,60,691470.6,FETCH_OK,"[""net_income""]",OK_FOR_PROVISIONAL_SCREEN,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T12:40:51.681408,batch_0015
TVN,UPCoM,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]","[""net_income""]",[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,11.6,1312470.0,792523.3333,1129100.0,0.0,60,15224652.0,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:05:56.464267,batch_0016
TVS,HOSE,Công ty Cổ phần Chứng khoán Thiên Việt,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",[],[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,12.95,44445.0,66781.6667,4300.0,0.0,60,575562.75,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:06:25.498997,batch_0016
VCG,HOSE,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]","[""net_income""]",[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,19.6,3771185.0,8778986.6667,1538900.0,0.0,60,73915226.0,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:24:07.153675,batch_0017
VCI,HOSE,Công ty Cổ phần Chứng khoán Vietcap,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",[],[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,23.4,6277985.0,8458236.95,3601800.0,0.0,60,146904849.0,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:24:22.293504,batch_0017
VDS,HOSE,Công ty Cổ phần Chứng khoán Rồng Việt,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",[],[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,13.85,496080.0,672768.3333,416200.0,0.0,60,6870708.0,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:28:23.454801,batch_0017
VFS,HNX,Công ty Cổ phần Chứng khoán Nhất Việt,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",[],[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,10.3,1456764.5,1405374.4,438800.0,0.0,60,15004674.35,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:32:38.780959,batch_0017
VGI,UPCoM,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]","[""net_income""]",[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,89.4,811425.0,749600.0,348800.0,0.0,60,72541395.0,FETCH_OK,"[""net_income""]",OK_FOR_PROVISIONAL_SCREEN,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:33:26.305129,batch_0017
VIG,HNX,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",[],[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,4.4,46965.0,61148.3333,17400.0,0.0,60,206646.0,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:39:03.411857,batch_0017
VIX,HOSE,Công ty Cổ phần Chứng khoán VIX,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Independent source-family confirmation is not available."", ""Manual BCTC review is required before deeper analysis.""]",[],[],Survived primary-only scale filters; manual BCTC/source verification remains required.,2026-06-11,16.85,37589135.0,38012534.3167,28072000.0,0.0,60,633376924.75,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured,vnstock_finance_v1,vnstock,2026-05-27T13:41:26.341151,batch_0017
