ticker,sample_group,step26_status,step26_block_reason,step26_missing_fields,fetch_attempted,fetch_ok,fetch_error_type,fetch_error_message,raw_row_count,normalized_row_count,last_available_date,last_close_available,last_volume_available,normalized_required_fields_present,fetch_duration_ms,provider,source,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,coverage_issue_class,recommended_repair_action,notes
A32,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,55554,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAA,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,650,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAH,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,911,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAM,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-11,True,True,True,1025,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAN,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,16,16,2026-06-12,True,True,True,1480,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAS,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,1455,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAT,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,1230,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AAV,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,1334,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABB,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,791,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABC,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,747,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABI,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,729,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABR,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-11,True,True,True,549,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABS,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,586,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABT,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,535,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
ABW,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,True,,,87,87,2026-06-12,True,True,True,623,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_OK_PIPELINE_MISSED,REFRESH_MARKET_SNAPSHOT_FROM_VNSTOCK,Direct vnstock fetch returned required market fields for a ticker Step26 marked as missing.
AC4,BLOCKED_SAMPLE,BLOCKED_INSUFFICIENT_MARKET_DATA,Primary market data missing or incomplete.,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]",True,False,RuntimeError,LIVE_FETCH_NOT_AVAILABLE_IN_ENV: RetryError[<Future at 0x17017b71230 state=finished raised ValueError>],0,0,,False,False,False,5541,vnstock,VCI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,FETCH_ERROR_SOURCE_OR_TICKER_ISSUE,CHECK_TICKER_EXCHANGE_MAPPING,Direct vnstock fetch raised an error.
