ticker,screening_status,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,manual_review_required,manual_bctc_required,independent_market_crosscheck_required_later,finance_crosscheck_required_later,evidence_debt_reason,missing_fields,block_reasons,reason_to_review,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,stale_days,trading_days_60d,recent_trading_value,market_fetch_status,finance_missing_fields,finance_quality_status,finance_source_layer
VIX,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]",[],[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,16.85,37589135.0,38012534.3167,28072000.0,0,60,633376924.75,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured
VND,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]",[],[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,17.2,19177213.55,13594958.6667,11655200.0,0,60,329848073.06,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured
VSC,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,18.45,3310805.0,4819121.6667,2013800.0,0,60,61084352.25,FETCH_OK,"[""net_income""]",OK_FOR_PROVISIONAL_SCREEN,provisional_structured
VGI,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,89.4,811425.0,749600.0,348800.0,0,60,72541395.0,FETCH_OK,"[""net_income""]",OK_FOR_PROVISIONAL_SCREEN,provisional_structured
VCG,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,19.6,3771185.0,8778986.6667,1538900.0,0,60,73915226.0,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured
VNM,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,59.2,2920120.0,3562053.3333,1804500.0,0,60,172871104.0,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured
TVN,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,11.6,1312470.0,792523.3333,1129100.0,0,60,15224652.0,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured
VJC,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,177.5,1103555.0,1256716.6667,817800.0,0,60,195881012.5,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured
VTZ,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,20.5,1022065.0,1063093.3333,844300.0,0,60,20952332.5,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured
YEG,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]","[""net_income""]",[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,8.53,652105.35,924037.0,549300.0,0,60,5562458.6355,FETCH_OK,"[""net_income""]",PARTIAL_PROVISIONAL_DATA,provisional_structured
VCI,WATCHLIST_CANDIDATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,True,True,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]",[],[],Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,2026-06-11,23.4,6277985.0,8458236.95,3601800.0,0,60,146904849.0,FETCH_OK,[],PARTIAL_PROVISIONAL_DATA,provisional_structured
