ticker,period,document_type,source_url,issue,manual_review_required,priority,notes
KDH,2026-Q1,financial_statement,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-cong-ty-me-q12026-giai-trinh-trong-tm-sign.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,2026-Q1,financial_statement,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Rieng-EN.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
PVS,2026-Q1,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/657 PTSC-BTK.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
SSI,2026-Q1,financial_statement,https://www.ssi.com.vn/upload/files/IR/20260420_SSI_Bao_cao_tai_chinh_rieng_Quy_1_nam_2026(2).pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,2025-Q4,financial_statement,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Rieng-EN-1.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
PVS,2025-Q4,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Cty me Quy 4 2025_web.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
SSI,2025-Q4,financial_statement,https://www.ssi.com.vn/upload/files/IR/20260120_SSI_Bao_cao_tai_chinh_rieng_Quy_4_nam_2025.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,2025,financial_statement,https://www.namlongvn.com/uploads/2025/08/20250804-nlg-bao-cao-soat-xet-ban-nien-2025-rieng-en.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
PVS,2025,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Cong ty me 6T %C4%90N2025 SKT.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
PVS,2025,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Cong ty me nam 2024_SKT.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
SSI,2025,financial_statement,https://www.ssi.com.vn/upload/files/IR/Reports/20250814_SSI_Bao_cao_tai_chinh_rieng_soat_xet_ban_nien_2025.pdf,STANDALONE_REVIEW_REQUIRED,True,high,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; standalone/rieng candidate requires manual review; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
