ticker,step26_status,step26_missing_fields,step26_block_reasons,step28_fetch_error_type,step28_market_data_available,step28_last_price_date,step28_last_close,recovery_label
A32,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,30.0,RECOVERED_FROM_STEP26_BLOCKED
AAA,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,7.26,RECOVERED_FROM_STEP26_BLOCKED
AAH,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,2.9,RECOVERED_FROM_STEP26_BLOCKED
AAM,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-11,6.8,RECOVERED_FROM_STEP26_BLOCKED
AAN,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,22.35,RECOVERED_FROM_STEP26_BLOCKED
AAS,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,8.3,RECOVERED_FROM_STEP26_BLOCKED
AAT,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,2.82,RECOVERED_FROM_STEP26_BLOCKED
AAV,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,6.9,RECOVERED_FROM_STEP26_BLOCKED
ABB,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,16.7,RECOVERED_FROM_STEP26_BLOCKED
ABC,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,10.2,RECOVERED_FROM_STEP26_BLOCKED
