ticker,dataset_name,status,reason,notes
VCB,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"missing mapped fields: revenue,gross_profit,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow,inventory",recorded by REAL-DATA-01; no fabricated data
BID,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"missing mapped fields: revenue,gross_profit,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow,inventory",recorded by REAL-DATA-01; no fabricated data
CTG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"missing mapped fields: revenue,gross_profit,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow,inventory",recorded by REAL-DATA-01; no fabricated data
MBB,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"missing mapped fields: revenue,gross_profit,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow,inventory",recorded by REAL-DATA-01; no fabricated data
ACB,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"missing mapped fields: revenue,gross_profit,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow,inventory",recorded by REAL-DATA-01; no fabricated data
HPG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"missing mapped fields: operating_profit,net_profit",recorded by REAL-DATA-01; no fabricated data
HSG,financial_statement_summary,FINANCIAL_STATEMENT_DATA_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED,recorded by REAL-DATA-01; no fabricated data
VHM,financial_statement_summary,FINANCIAL_STATEMENT_DATA_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED,recorded by REAL-DATA-01; no fabricated data
KDH,financial_statement_summary,FINANCIAL_STATEMENT_DATA_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED,recorded by REAL-DATA-01; no fabricated data
NLG,financial_statement_summary,FINANCIAL_STATEMENT_DATA_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED,recorded by REAL-DATA-01; no fabricated data
