rank,ticker,exchange,company_name,sector_raw,industry_raw,evidence_priority_score,liquidity_score,data_completeness_score,finance_sanity_score,source_coverage_score,staleness_penalty,missing_data_penalty,confidence_level,source_count,provisional_only,manual_review_required,reason,evidence_stage
1,VIX,HOSE,Công ty Cổ phần Chứng khoán VIX,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,77.0,100.0,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
2,VND,HOSE,Công ty Cổ phần Chứng khoán VNDIRECT,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,75.5233,95.0778,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
3,VCI,HOSE,Công ty Cổ phần Chứng khoán Vietcap,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,73.9998,89.9995,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
4,VFS,HNX,Công ty Cổ phần Chứng khoán Nhất Việt,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,70.6902,78.9672,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
5,VDS,HOSE,Công ty Cổ phần Chứng khoán Rồng Việt,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,69.4851,74.9502,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
6,VSC,HOSE,Công ty Cổ phần Container Việt Nam,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",UNKNOWN,67.1866,86.872,87.5,90.0,33.3333,10.0,2.5,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. Missing finance fields preserved. Legacy price date is stale or unavailable. legacy_export_status=OK_FOR_PROVISIONAL_SCREEN.,stage_4_deep_dive_shortlist
7,VIG,HNX,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,65.8916,62.9721,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
8,TVS,HOSE,Công ty Cổ phần Chứng khoán Thiên Việt,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,65.463,61.5432,100.0,100.0,33.3333,0.0,13.0,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
9,VRE,HOSE,Công ty Cổ phần Vincom Retail,Tài chính / Bất động sản / Bất động sản / Bất động sản,C,65.0584,89.7781,87.5,90.0,33.3333,0.0,15.5,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. Missing finance fields preserved. legacy_export_status=PARTIAL_PROVISIONAL_DATA.,stage_4_deep_dive_shortlist
10,VGI,UPCoM,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Viễn thông / Viễn thông / Viễn thông di động / Viễn thông di động,UNKNOWN,65.0207,79.6525,87.5,90.0,33.3333,10.0,2.5,PROVISIONAL_LOW,1,True,True,Provisional evidence-priority only; not an investment score. ONE_SOURCE_ONLY. Missing finance fields preserved. Legacy price date is stale or unavailable. legacy_export_status=OK_FOR_PROVISIONAL_SCREEN.,stage_4_deep_dive_shortlist
