stage,status,input_count,output_count,warnings,errors,notes
raw_to_clean,SUCCESS_WITH_WARNINGS,616,616,"[""MISSING_CLEAN_FIELD:company_profile:industry_raw"", ""MISSING_CLEAN_FIELD:company_profile:business_description"", ""MISSING_CLEAN_FIELD:financial_statement_summary:ticker"", ""MISSING_CLEAN_FIELD:financial_statement_summary:period"", ""MISSING_CLEAN_FIELD:financial_statement_summary:revenue"", ""MISSING_CLEAN_FIELD:financial_statement_summary:net_profit"", ""MISSING_CLEAN_FIELD:financial_statement_summary:equity"", ""MISSING_CLEAN_FIELD:financial_statement_summary:total_assets"", ""MISSING_CLEAN_FIELD:financial_statement_summary:total_liabilities"", ""MISSING_CLEAN_FIELD:disclosure_status:ticker"", ""MISSING_CLEAN_FIELD:disclosure_status:date"", ""MISSING_CLEAN_FIELD:disclosure_status:event_type"", ""MISSING_CLEAN_FIELD:disclosure_status:severity""]",[],
data_quality,SUCCESS_WITH_WARNINGS,616,616,"[""MISSING_INDUSTRY_RAW"", ""MISSING_BUSINESS_DESCRIPTION"", ""LOW_CONFIDENCE_RAW"", ""MISSING_DATA"", ""STALE_DATA"", ""OUTLIER_REVIEW"", ""SKIPPED_EMPTY_DATASET:financial_statement_summary"", ""SKIPPED_EMPTY_DATASET:disclosure_status""]",[],
production_universe_builder,SUCCESS_WITH_WARNINGS,20,20,"[""MISSING_MARKET_DATA"", ""MISSING_FINANCIAL_DATA"", ""PROFILE_DATA_QUALITY_REVIEW"", ""MARKET_DATA_QUALITY_REVIEW""]",[],
l0_trash_filter,SUCCESS_WITH_WARNINGS,20,20,"[""MARKET_STALE_DATA"", ""MARKET_LOW_CONFIDENCE"", ""LOW_LIQUIDITY"", ""MISSING_MARKET_DATA"", ""MISSING_FINANCIAL_DATA"", ""VERY_LOW_LIQUIDITY""]",[],
l0_basic_investability_filter,SUCCESS_WITH_WARNINGS,20,20,"[""UPSTREAM_L0_CAUTION"", ""LOW_DATA_CONFIDENCE"", ""MARKET_CAP_MISSING"", ""UNKNOWN_DISCLOSURE_STATUS"", ""LOW_DATA_COVERAGE"", ""SUSPICIOUS_OUTLIER"", ""STALE_DATA"", ""LOW_LIQUIDITY"", ""MARKET_DATA_QUALITY_REVIEW"", ""INSUFFICIENT_MARKET_DATA"", ""INSUFFICIENT_FINANCIAL_DATA"", ""FAILED_L0_TRASH_FILTER""]",[],
l1_business_classification,SUCCESS_WITH_WARNINGS,20,20,"[""INSUFFICIENT_DATA_FOR_CLASSIFICATION"", ""FAILED_L0_BASIC_INVESTABILITY""]",[],
archetype_templates,SUCCESS_WITH_WARNINGS,20,20,"[""UNKNOWN_ARCHETYPE_TEMPLATE""]",[],
driver_registry,SUCCESS_WITH_WARNINGS,20,20,"[""INSUFFICIENT_DATA_FOR_CLASSIFICATION"", ""NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION"", ""FAILED_L0_BASIC_INVESTABILITY""]",[],
indicator_registry,SUCCESS_WITH_WARNINGS,20,20,"[""UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING"", ""UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING""]",[],
sector_cycle_engine,SUCCESS_WITH_WARNINGS,0,1,"[""UNKNOWN_MICRO_SECTOR_FOR_SECTOR_CYCLE"", ""INSUFFICIENT_DATA_FOR_SECTOR_CYCLE""]",[],Indicator values are required for high-confidence sector-cycle output.
