ticker,severity,reason_code,reason_message,source_file,field_name
VIX,INFO,MARKET_PRIMARY_FRESH,Primary market row is fresh in the 04B primary reference.,data\reports\alternative_source_consensus_04b\source_family_consensus_20.csv,primary_status
VIX,WARN,MARKET_NO_INDEPENDENT_CURRENT_CONFIRMATION,04B found no independent current market source-family for this ticker.,data\reports\alternative_source_consensus_04b\source_family_consensus_20.csv,independent_current_source_family_count
VIX,INFO,MARKET_RAW_CACHE_NOT_INDEPENDENT,Raw cache is same source-family and is not counted as independent confirmation.,data\reports\alternative_source_consensus_04b\alternative_market_observations_20.csv,source_family
VIX,WARN,FINANCE_ONE_SOURCE_ONLY,Finance layer remains provisional and one-source-only.,data\reports\provisional_current_market_03\stage2_eligibility_gate.csv,finance_crosscheck_status
VIX,INFO,READY_FOR_SHADOW_FROM_REAL_DATA_02,REAL-DATA-02 marked this ticker ready for diagnostic shadow.,data\reports\real_data_02_pilot_20\real_data_02_pilot_readiness.csv,readiness_status
VIX,INFO,ACTIONABLE_OUTPUT_BLOCKED,Actionable company output is blocked in shadow mode.,STEP19-SHADOW-20,investment_recommendation_allowed
VIX,INFO,VALUATION_BLOCKED,Valuation output is blocked in shadow mode.,STEP19-SHADOW-20,valuation_allowed
VIX,INFO,PRODUCTION_STEP19_BLOCKED,Production Step19 is blocked; this run is diagnostic only.,STEP19-SHADOW-20,production_step19_allowed
VND,INFO,MARKET_PRIMARY_FRESH,Primary market row is fresh in the 04B primary reference.,data\reports\alternative_source_consensus_04b\source_family_consensus_20.csv,primary_status
VND,WARN,MARKET_NO_INDEPENDENT_CURRENT_CONFIRMATION,04B found no independent current market source-family for this ticker.,data\reports\alternative_source_consensus_04b\source_family_consensus_20.csv,independent_current_source_family_count
VND,INFO,MARKET_RAW_CACHE_NOT_INDEPENDENT,Raw cache is same source-family and is not counted as independent confirmation.,data\reports\alternative_source_consensus_04b\alternative_market_observations_20.csv,source_family
VND,WARN,FINANCE_ONE_SOURCE_ONLY,Finance layer remains provisional and one-source-only.,data\reports\provisional_current_market_03\stage2_eligibility_gate.csv,finance_crosscheck_status
VND,INFO,READY_FOR_SHADOW_FROM_REAL_DATA_02,REAL-DATA-02 marked this ticker ready for diagnostic shadow.,data\reports\real_data_02_pilot_20\real_data_02_pilot_readiness.csv,readiness_status
VND,INFO,ACTIONABLE_OUTPUT_BLOCKED,Actionable company output is blocked in shadow mode.,STEP19-SHADOW-20,investment_recommendation_allowed
VND,INFO,VALUATION_BLOCKED,Valuation output is blocked in shadow mode.,STEP19-SHADOW-20,valuation_allowed
VND,INFO,PRODUCTION_STEP19_BLOCKED,Production Step19 is blocked; this run is diagnostic only.,STEP19-SHADOW-20,production_step19_allowed
VSC,INFO,MARKET_PRIMARY_FRESH,Primary market row is fresh in the 04B primary reference.,data\reports\alternative_source_consensus_04b\source_family_consensus_20.csv,primary_status
