ticker,stage,needed_document,where_to_get_it,suggested_category,document_priority,reason
VIX,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P0_latest_consolidated_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VIX,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P1_latest_audited_annual_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VIX,stage_4_deep_dive_shortlist,P2_latest_annual_report,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao thuong nien,P2_latest_annual_report,Manual seed requested only for staged evidence slots; no automated bulk download.
VIX,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P3_same_period_previous_year_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VIX,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P4_three_year_audited_annual_statements,Manual seed requested only for staged evidence slots; no automated bulk download.
VND,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P0_latest_consolidated_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VND,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P1_latest_audited_annual_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VND,stage_4_deep_dive_shortlist,P2_latest_annual_report,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao thuong nien,P2_latest_annual_report,Manual seed requested only for staged evidence slots; no automated bulk download.
VND,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P3_same_period_previous_year_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VND,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P4_three_year_audited_annual_statements,Manual seed requested only for staged evidence slots; no automated bulk download.
VSC,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P0_latest_consolidated_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VSC,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P1_latest_audited_annual_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VSC,stage_4_deep_dive_shortlist,P2_latest_annual_report,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao thuong nien,P2_latest_annual_report,Manual seed requested only for staged evidence slots; no automated bulk download.
VSC,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P3_same_period_previous_year_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VSC,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P4_three_year_audited_annual_statements,Manual seed requested only for staged evidence slots; no automated bulk download.
VGI,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P0_latest_consolidated_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VGI,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P1_latest_audited_annual_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VGI,stage_4_deep_dive_shortlist,P2_latest_annual_report,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao thuong nien,P2_latest_annual_report,Manual seed requested only for staged evidence slots; no automated bulk download.
VGI,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P3_same_period_previous_year_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VGI,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P4_three_year_audited_annual_statements,Manual seed requested only for staged evidence slots; no automated bulk download.
VCG,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P0_latest_consolidated_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VCG,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P1_latest_audited_annual_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VCG,stage_4_deep_dive_shortlist,P2_latest_annual_report,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao thuong nien,P2_latest_annual_report,Manual seed requested only for staged evidence slots; no automated bulk download.
VCG,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P3_same_period_previous_year_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VCG,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P4_three_year_audited_annual_statements,Manual seed requested only for staged evidence slots; no automated bulk download.
VNM,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P0_latest_consolidated_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VNM,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao tai chinh,P1_latest_audited_annual_financial_statement,Manual seed requested only for staged evidence slots; no automated bulk download.
VNM,stage_4_deep_dive_shortlist,P2_latest_annual_report,"Vietstock > Tai lieu > Bao cao tai chinh/Bao cao thuong nien, or company IR direct link",Bao cao thuong nien,P2_latest_annual_report,Manual seed requested only for staged evidence slots; no automated bulk download.
