ticker,screening_status,reason_to_review,missing_fields,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,manual_bctc_required,evidence_debt_reason
VIX,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VND,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VSC,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VGI,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VCG,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VNM,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
TVN,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VJC,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VTZ,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
YEG,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VCI,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VFS,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VDS,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VIG,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
TVS,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VRE,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VNE,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VOS,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
VTP,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
TLH,WATCHLIST_CANDIDATE,Survived primary-only preliminary filters; official BCTC/manual finance verification still required.,"[""net_income""]",PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,True,"[""No independent current market source-family confirmation."", ""Financial data not checked against official BCTC."", ""Primary-only screening result; human review required before later analysis.""]"
