ticker,period,period_type,has_revenue,has_net_profit,has_total_assets,has_total_liabilities,has_equity,has_cash,has_operating_cash_flow,has_inventory,missing_fields,not_applicable_fields,source,confidence_raw,notes
VCB,2026-Q1,quarter,False,False,True,True,True,False,False,False,"revenue,net_profit,cash,operating_cash_flow,inventory","gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
BID,2026-Q1,quarter,False,False,True,True,True,False,False,False,"revenue,net_profit,cash,operating_cash_flow,inventory","gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
CTG,2026-Q1,quarter,False,False,True,True,True,False,False,False,"revenue,net_profit,cash,operating_cash_flow,inventory","gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
MBB,2026-Q1,quarter,False,False,True,True,True,False,False,False,"revenue,net_profit,cash,operating_cash_flow,inventory","gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
ACB,2026-Q1,quarter,False,False,True,True,True,False,False,False,"revenue,net_profit,cash,operating_cash_flow,inventory","gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
HPG,2026-Q1,quarter,True,False,True,True,True,True,True,True,net_profit,"gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
HSG,2026-Q1,quarter,True,False,True,True,True,True,True,True,net_profit,"gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
VHM,2026-Q1,quarter,True,False,True,True,True,True,True,True,net_profit,"gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
KDH,2026-Q1,quarter,True,False,True,True,True,True,True,True,net_profit,"gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
NLG,2026-Q1,quarter,True,False,True,True,True,True,True,True,net_profit,"gross_profit,inventory",vnstock:vci:finance,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
