ticker,company_name,primary_sector,primary_micro_sector,archetype,manual_review_reason,missing_fields,risk_flags,evidence_debt_reason,verification_status
VIX,Công ty Cổ phần Chứng khoán VIX,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VND,Công ty Cổ phần Chứng khoán VNDIRECT,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VSC,Công ty Cổ phần Container Việt Nam,Công nghiệp,Công nghiệp::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VGI,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Viễn thông,Viễn thông::non_financial,non_financial,Peer group is too small for context comparison. Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Công nghiệp,Công nghiệp::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VNM,Công ty Cổ phần Sữa Việt Nam,Hàng Tiêu dùng,Hàng Tiêu dùng::non_financial,non_financial,Peer group is too small for context comparison. Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,Nguyên vật liệu,Nguyên vật liệu::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VJC,Công ty Cổ phần Hàng không Vietjet,Dịch vụ Tiêu dùng,Dịch vụ Tiêu dùng::non_financial,non_financial,Peer group is too small for context comparison. Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nguyên vật liệu,Nguyên vật liệu::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
YEG,Công ty Cổ phần Tập đoàn Yeah1,Dịch vụ Tiêu dùng,Dịch vụ Tiêu dùng::non_financial,non_financial,Peer group is too small for context comparison. Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
