ticker,period,document_hash,fields_found,fields_missing,required_fields_found_count,required_fields_missing_count,coverage_status,manual_review_required,notes
FPT,2026-Q1,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
KDH,2026-Q1,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
NLG,2026-Q1,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
SSI,2026-Q1,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
NLG,2025-Q4,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
PVS,2025-Q4,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
SSI,2025-Q4,8e274d934023ff5129a99729f181b75df47dafda50ee26d831979466ae432d22,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
PVS,2025,81c6aae9cf6573bc8bc726488e9abd5303ef51d242670241663ec29589d38670,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
PVS,2025,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
PVS,2025,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
NLG,2025-Q3,b70e7c24682cabd95d229423896d74a4120ae537f88b948337022522798cfe83,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
PVS,2025-Q3,4725c9bda835de617ef59cb8c933eae12f8d365aca8c0afaadfadfae530d33e1,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
SSI,2025-Q3,01d6b4d89d9bad8f7090f0ac66433fad2926ed961e150343a248f2293d0bfe06,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
NLG,2025-Q2,fa0f45875eaf46be960a14bb2fda4b0642e22c585c0a97adc5fba1760f765150,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
PVS,2025-Q2,4b78ed50d5120d5774dd26b50cda33e33fa1125959ccabc0f942c5328387638b,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,INSUFFICIENT_PARSE,True,official parser does not infer missing values
PVS,2026-Q1,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,INSUFFICIENT_PARSE,True,official parser does not infer missing values
NLG,2025,32478ad3f1aaf25f0cf3853fdcad6a8b9d3142bbb873fdb54c617fbc85f2909a,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
NLG,2025,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,INSUFFICIENT_PARSE,True,official parser does not infer missing values
NLG,2025,afb75dcf5cb770013e13b6fda0a1288ddc02939452ef1daa80ea48ed33057ab7,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
SSI,2025,513737d0cb20948ec679f05e8d3bcf8decb81dfb81b36aba42ccd05aa961ae65,,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,0,12,NO_TEXT_EXTRACTED,True,official parser does not infer missing values
