ticker,in_legacy_quality,in_legacy_market,in_ranking,exchange,sector_raw,has_market_data,has_finance_data,data_quality_status,possible_issue,recommended_action
A32,True,True,True,UPCoM,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Giầy dép,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AAA,True,True,True,HOSE,"Nguyên vật liệu / Hóa chất / Hóa chất / Nhựa, cao su & sợi",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AAH,True,True,True,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai thác Than,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AAM,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AAN,True,True,True,,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,False,False,INSUFFICIENT_DATA,UNKNOWN_EXCHANGE,Verify exchange/listing identity before stage_2+.
AAS,True,True,True,UPCoM,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AAT,True,True,True,HOSE,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AAV,True,True,True,HNX,Tài chính / Bất động sản / Bất động sản / Bất động sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ABB,True,True,True,UPCoM,Ngân hàng / Ngân hàng / Ngân hàng / Ngân hàng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ABC,True,True,True,UPCoM,Viễn thông / Viễn thông / Viễn thông di động / Viễn thông di động,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
