ticker,manual_review_reason,missing_fields,technical_warning_flags,liquidity_warning_flags,verification_status,evidence_debt_reason
VIX,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VND,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VSC,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VGI,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VCG,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VNM,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
TVN,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VJC,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VTZ,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
YEG,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
