stage_cap,ticker,raw_rank,balanced_rank,sector_bucket,firm_type,balance_action,diagnostic_reason
stage_4_deep_dive_shortlist,VSC,6,3,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=6; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,VGI,10,4,Viễn thông,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=10; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,VCG,12,5,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=12; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,VNM,13,6,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=13; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,TVN,18,7,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=18; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,VJC,20,8,Dịch vụ Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=20; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,VTZ,22,9,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=22; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_4_deep_dive_shortlist,YEG,26,10,Dịch vụ Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=26; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VCI,3,11,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=3; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VFS,4,12,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=4; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VDS,5,13,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=5; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VIG,7,14,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=7; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TVS,8,15,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=8; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VRE,9,16,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=9; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VNE,21,17,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=21; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VOS,23,18,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=23; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VTP,24,19,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=24; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TLH,25,20,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=25; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TTF,27,21,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=27; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VGC,29,22,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=29; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TNG,30,23,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=30; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VHC,31,24,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=31; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VGT,32,25,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=32; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VEA,33,26,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=33; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TV2,34,27,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=34; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VPG,35,28,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=35; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TTA,36,29,Tiện ích Cộng đồng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=36; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VGS,37,30,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=37; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VTD,38,31,Dịch vụ Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=38; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VHE,41,32,Dược phẩm và Y tế,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=41; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TNI,46,33,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=46; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VVS,49,34,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=49; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TSC,50,35,Nguyên vật liệu,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=50; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TNH,51,36,Dược phẩm và Y tế,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=51; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TLG,59,37,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=59; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TDG,65,38,Tiện ích Cộng đồng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=65; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VLC,66,39,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=66; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VNB,68,40,Dịch vụ Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=68; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VOC,70,41,Hàng Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=70; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TDM,79,42,Tiện ích Cộng đồng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=79; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VTC,84,43,Công nghệ Thông tin,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=84; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TTN,88,44,Viễn thông,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=88; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VCW,91,45,Tiện ích Cộng đồng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=91; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VTR,93,46,Dịch vụ Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=93; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VCP,95,47,Tiện ích Cộng đồng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=95; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TOS,103,48,Dầu khí,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=103; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,TVP,104,49,Dược phẩm và Y tế,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=104; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_3_final_watchlist,VNS,105,50,Dịch vụ Tiêu dùng,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=105; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VHM,11,51,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=11; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
